210014,Maya Angelou Elementary School,Angelou Elementary
210015,Booth Admin - Pasco,Booth Building
210019,Chiawana High School,Chiawana High School
210020,Columbia River Elementary,Columbia River Elementary
210178,Delta High School,Delta High School
210192,Ochoa Middle School,Ellen Ochoa Middle School
210180,Emerson Elementary,Emerson Elementary School
210197,Stevens Middle School,Isaac Stevens Middle School
210021,Curie STEM Elementary School,Marie Curie Elementary
210198,Twain Elementary School,Mark Twain Elementary
210187,McClintock STEM Elementary School,McClintock Elementary
210190,McLoughlin Middle School,McLoughlin Middle School
209874,Pasco High School,Pasco High School
210194,Reynolds Middle School,Ray Reynolds Middle School
210182,Frost Elementary,Robert Frost Elementary
210181,Franklin STEM Elementary School,Rosalind Franklin Elementary
210199,Three Rivers Elementary School,Three Rivers Elementary
210195,Robinson Elementary School,Virgie Robinson Elementary
210200,Whittier Elementary,Whittier Elementary
